TV,Radio,Newspaper,Sales
115.5,32.1,11.9,13.5
285.5,4.2,103.8,15.7
220.9,8.1,58.1,14.5
181.6,44.9,95.0,18.2
51.0,30.3,36.8,10.2
51.0,0.5,103.0,3.5
22.1,5.1,44.8,8.1
260.5,33.2,1.2,21.2
182.3,0.3,104.1,10.3
213.9,8.0,10.5,14.6
11.1,27.4,36.7,8.5
291.1,34.6,109.3,22.6
250.6,32.6,109.3,21.7
67.6,11.2,65.9,9.4
58.6,35.6,72.7,11.6
59.1,11.9,51.6,7.0
94.8,16.3,33.7,10.0
159.8,37.3,37.8,13.7
132.4,32.5,77.3,12.8
90.9,42.5,86.5,17.4
185.5,32.9,91.0,20.4
46.2,28.4,90.8,10.1
91.2,4.7,10.5,8.9
113.1,18.4,56.9,12.2
139.5,13.3,6.6,16.8
236.6,12.2,63.2,18.0
63.9,48.7,50.8,14.9
156.7,19.7,102.1,12.4
179.8,44.6,40.4,17.1
18.7,31.6,13.5,10.1
184.2,39.7,16.4,17.7
55.3,25.1,87.6,8.0
24.2,28.8,71.1,8.5
284.9,24.6,11.6,19.0
289.9,9.8,9.7,20.8
243.5,36.1,80.6,22.5
94.9,14.0,8.4,9.9
33.8,1.2,94.5,7.1
206.8,32.3,81.2,18.8
134.8,8.9,9.4,9.4
41.0,47.0,9.8,16.2
151.1,47.7,113.5,19.9
15.1,45.7,43.0,10.7
273.2,18.5,42.6,18.7
81.3,0.8,93.5,5.5
200.4,46.4,108.9,18.8
97.0,21.4,113.4,13.0
158.4,48.3,86.6,22.5
166.3,48.2,43.3,17.5
59.5,42.7,9.6,14.7
291.0,14.7,89.4,18.1
233.7,19.3,64.2,16.6
282.2,42.6,48.8,23.1
269.0,15.8,104.2,17.0
181.4,8.5,12.8,12.9
277.0,27.8,56.7,19.7
31.1,46.8,1.3,13.7
62.8,34.8,53.9,12.4
18.3,28.5,6.5,8.8
101.0,4.9,13.7,7.0
119.7,30.8,13.5,13.3
85.0,49.5,74.7,17.5
249.5,7.0,85.8,16.6
110.2,25.9,67.1,11.4
87.9,43.9,110.6,15.6
165.1,37.0,43.1,18.8
46.6,34.9,32.9,9.0
241.6,35.1,99.9,21.7
27.0,18.0,25.7,6.5
296.1,14.7,110.8,20.3
232.8,40.5,1.4,20.1
63.6,40.5,111.5,10.7
6.6,43.4,5.0,8.9
245.6,45.7,102.5,23.1
213.5,25.6,60.7,18.1
220.1,25.1,114.2,16.5
232.5,39.9,8.5,22.2
26.8,32.5,63.7,7.7
110.7,35.1,111.5,14.7
39.2,39.8,60.2,10.4
259.6,44.5,72.4,22.3
188.9,16.9,80.0,15.0
102.6,18.8,52.3,9.9
23.7,4.7,72.2,4.3
96.7,28.9,67.2,14.5
100.9,1.8,103.6,7.1
220.2,23.3,5.2,18.8
193.1,27.1,32.3,15.2
266.7,14.3,109.3,18.8
144.3,29.5,102.4,17.6
40.3,1.5,52.4,1.1
215.4,1.9,71.3,12.0
229.4,41.1,31.9,22.2
170.6,18.0,21.6,13.9
232.4,6.4,53.3,15.5
150.7,26.1,40.6,13.9
159.2,38.5,67.1,17.7
131.1,10.8,8.9,10.7
12.5,31.1,112.1,11.4
36.8,4.3,113.4,5.9
14.3,2.6,80.3,4.7
192.7,26.6,61.7,16.2
97.7,27.0,35.6,11.8
155.0,31.9,93.6,15.5
272.7,36.3,78.7,23.1
78.5,48.8,18.7,15.1
126.1,25.8,104.8,14.2
227.9,16.1,94.6,19.9
72.5,39.8,109.2,15.3
27.7,13.5,83.5,6.3
90.5,21.9,70.5,13.2
52.6,3.9,48.1,5.5
279.3,1.3,107.3,12.8
243.4,48.1,99.6,21.7
191.9,41.8,5.2,16.7
262.1,34.8,3.0,21.0
242.1,20.4,43.3,18.0
60.0,8.7,93.2,10.1
268.3,7.8,113.5,17.4
164.1,12.5,17.3,12.5
243.2,27.5,68.3,20.7
269.3,35.7,43.8,18.6
98.8,33.0,111.5,14.2
37.5,14.0,96.8,8.6
72.2,47.7,96.4,13.0
131.0,36.9,53.9,17.8
246.3,27.7,47.7,20.1
258.9,30.6,31.4,20.0
7.1,21.0,6.5,8.2
155.7,12.4,99.4,16.2
128.1,17.8,93.5,12.6
70.5,37.9,115.0,13.9
40.4,0.7,114.6,4.3
104.6,5.8,63.9,7.5
283.2,2.3,88.4,17.8
100.3,2.0,108.6,6.6
158.0,42.8,97.7,18.5
212.4,35.2,28.4,18.6
112.3,23.7,51.8,13.4
291.7,4.9,14.9,17.8
288.9,24.6,109.7,22.6
